date	clade_membership					
2021-03-04	21C (Epsilon)					
2021-02-23	21C (Epsilon)					
2021-02-05	21C (Epsilon)					
2021-09-13	20H (Beta, V2)					
2021-04-29	20H (Beta, V2)					
2021-03-14	20H (Beta, V2)					
2021-02-04	20H (Beta, V2)					
2021-02-05	20H (Beta, V2)					
2021-01-22	20H (Beta, V2)					
2020-11-16	20H (Beta, V2)					
2021-02-28	20H (Beta, V2)					
2021-05-25	20H (Beta, V2)					
2021-02-10	20H (Beta, V2)					
2021-04-12	20H (Beta, V2)					
2021-05-07	20H (Beta, V2)					
2021-03-23	20H (Beta, V2)					
2021-04-15	20H (Beta, V2)					
2021-04-30	20H (Beta, V2)					
2021-04-29	20H (Beta, V2)					
2021-01-18	20H (Beta, V2)					
2021-04-26	20H (Beta, V2)					
2021-03-30	20H (Beta, V2)					
2021-05-28	20H (Beta, V2)					
2020-03-22	20B					
2020-07-07	20B					
2020-04-26	20B					
2020-05-01	20B					
2020-03-18	20B					
2020-03-26	20B					
2020-05-02	20B					
2020-03-16	20B					
2020-03-22	20B					
2020-07-20	20B					
2020-04-29	20B					
2020-04-30	20B					
2020-10-26	20B					
2020-07-02	20B					
2020-03-14	20B					
2020-05-26	20B					
2020-02-29	20B					
2020-05-04	20B					
2020-10-31	20B					
2020-06-21	20B					
2021-01-24	20B					
2021-02-05	20B					
2020-06-04	20B					
2020-07-10	20B					
2020-07-14	20B					
2020-03-13	20B					
2020-06-04	20B					
2020-06-09	20B					
2020-08-23	20B					
2020-07-14	20B					
2020-07-14	20B					
2020-07-14	20B					
2020-09-22	20B					
2020-09-22	20B					
2020-07-14	20B					
2020-07-14	20B					
2020-10-08	20B					
2020-09-28	20B					
2020-10-14	20B					
2020-09-30	20B					
2020-09-30	20B					
2020-11-10	20B					
2020-10-01	20B					
2020-10-16	20B					
2020-10-06	20B					
2020-06-25	20B					
2020-09-14	20B					
2020-05-14	20B					
2020-12-09	20B					
2020-05-12	20B					
2020-05-14	20B					
2020-06-08	20B					
2020-05-13	20B					
2020-05-27	20B					
2020-04-24	20B					
2020-04-28	20B					
2020-04-15	20B					
2020-04-17	20B					
2020-04-28	20B					
2020-06-29	20B					
2020-06-08	20B					
2020-05-15	20B					
2020-02-27	20B					
2020-06-14	20B					
2021-01-04	20B					
2020-05-01	20B					
2020-07-28	20B					
2020-09-29	20B					
2020-05-03	20B					
2020-04-11	20B					
2020-07-18	20B					
2020-09-11	20B					
2020-10-05	20B					
2020-08-20	20B					
2021-01-26	20B					
2021-01-24	20B					
2021-01-13	20B					
2021-01-29	20B					
2021-02-09	20B					
2021-02-09	20B					
2021-02-09	20B					
2021-04-11	20B					
2021-03-02	20B					
2021-03-04	20B					
2020-12-21	20J (Gamma, V3)					
2021-02-19	20J (Gamma, V3)					
2021-04-18	20J (Gamma, V3)					
2021-02-10	20J (Gamma, V3)					
2021-04-17	20J (Gamma, V3)					
2021-01-01	20J (Gamma, V3)					
2021-01-21	20J (Gamma, V3)					
2021-01-21	20J (Gamma, V3)					
2021-03-19	20J (Gamma, V3)					
2021-05-13	20J (Gamma, V3)					
2021-04-08	20J (Gamma, V3)					
